# 2020-04-12 09:02:15 Translations: 866
Nr	Translated	Id	Translation	English
77	Y	fact-diffs.resolved-facts	Opgeloste feiten	Resolved facts
78	Y	fact-page.title	Alle feiten	All facts
79	Y	fact.description-missing	beschrijving ontbreekt!!	description missing!!
80	Y	fact.description.added	Toegevoegd aan de analyse.	Added to the analysis.
81	Y	fact.description.become-orphan	Wees geworden.	Has become orphan.
82	Y	fact.description.deleted	Verwijderd uit de OpenStreetMap database.	Deleted from the OpenStreetMap database.
83	Y	fact.description.integrity-check	Dit knooppunt heeft een tag die het aantal verwachte routes dat aankomt/vertrekt op dit knooppunt weergeeft.	This network node has a tag that indicates the expected number of routes that arrive/depart in this node.
84	Y	fact.description.integrity-check-failed	Het aantal routes die in het knooppunt aankomen of vertrekken is niet het verwachte aantal. Routes met tag "state" gelijk aan "connection" of "alternate" worden niet meegeteld.	The actual number of routes does not match the expected number of routes. Routes with tag "state" equal to "connection" or "alternate" are not counted.
85	Y	fact.description.lost-bicycle-node-tag	Dit punt is niet langer een geldig fietsnetwerk knooppunt omdat de rcn_ref tag verwijderd is.	This node is no longer a valid bicylenetwork node because the rcn_ref tag has been removed.
86	Y	fact.description.lost-canoe-node-tag	Dit punt is niet langer een geldig kano netwerk knooppunt omdat de rpn_ref tag verwijderd is.	This node is no longer a valid canoenetwork node because the rpn_ref tag has been removed.
87	Y	fact.description.lost-hiking-node-tag	Dit punt is niet langer een geldig wandelnetwerk knooppunt omdat de rwn_ref tag verwijderd is.	This node is no longer a valid hikingnetwork node because the rwn_ref tag has been removed.
88	Y	fact.description.lost-horse-riding-node-tag	Dit punt is niet langer een geldig ruiternetwerk knooppunt omdat de rhn_ref tag verwijderd is.	This node is no longer a valid horse riding network node because the rhn_ref tag has been removed.
89	Y	fact.description.lost-inline-skate-node-tag	Dit punt is niet langer een geldig inline skating netwerk knooppunt omdat de rin_ref tag verwijderd is.	This node is no longer a valid inline skating network node because the rin_ref tag has been removed.
90	Y	fact.description.lost-motorboat-node-tag	Dit punt is niet langer een geldig motorboot netwerk knooppunt omdat de rmn_ref tag verwijderd is.	This node is no longer a valid motorboatnetwork node because the rmn_ref tag has been removed.
91	Y	fact.description.lost-route-tags	Deze relatie is niet langer een geldige netwerk route omdat een benodigde tag verwijderd is.	This relation is no longer a valid network route because a required tag has been removed.
92	Y	fact.description.name-missing	De netwerk relatie bevat niet de verplichte tag met sleutel "name".	The network relation does not contain the mandatory tag with key "name".
93	Y	fact.description.network-extra-member-node	De netwerk relatie bevat 1 of meerdere onverwachte knopen (we verwachten enkel knopen die ook echt een knooppunt definitie zijn, of een netwerk kaart).	The network relation contains members of type _"node"_ that are unexpected (we expect only network nodes or information maps as members in the network relation).
94	Y	fact.description.network-extra-member-relation	De netwerk relatie bevat overwachte relaties. In network relaties verwachten we enkel route relaties of knooppunten, geen relaties die geen route relaties zijn.	The network relation contains members of type _"relation"_ that are unexpected (expect only valid route relations or network nodes as members in the node network relation).
95	Y	fact.description.network-extra-member-way	De netwerk relatie bevat overwachte wegen (in network relaties verwachten we enkel route relaties of knooppunten, geen wegen).	The network relation contains members of type _"way"_ (expect only route relations or network nodes as members in the node network relation).
96	Y	fact.description.node-member-missing	Het knooppunt is niet opgenomen als lid in de netwerk relatie.	The node is not member of the network relation.
97	Y	fact.description.orphan-node	Op zichzelf staande knooppunt (niet teruggevonden in een netwerk). Dit knooppunt werd niet teruggevonden als deel van een geldige netwerk relatie, of als deel van een geldige route relatie (dit kan een route relatie zijn die deel uitmaakt van een network relatie, maar ook een op zichzelf staande route relatie die geen deel uitmaakt van een network relatie).	This node does not belong to a network. The node was not added as a member to a valid network relation, and also not added as a member to valid route relation (that itself was added as a member to a valid network relation or is an orphan route).
98	Y	fact.description.orphan-route	Deze route maakt geen deel uit van een netwerk. Deze route wordt niet teruggevonden in een geldige netwerk relatie.	This route does not belong to a network. The route was not added as a member to a valid network relation.
99	Y	fact.description.route-analysis-failed	Er heeft zich een probleem voorgedaan tijdens de route analyse. De route is mogelijk te complex.	The route could not be analyzed (too complex?).
100	Y	fact.description.route-broken	TODO	TODO
101	Y	fact.description.route-fixmetodo	Er is nog werk aan deze route (heeft tag _"fixmetodo"_).	Route definition needs work (has tag _"fixmetodo"_).
102	Y	fact.description.route-incomplete	De route is onvolledig. De routes zijn uitdrukkelijk gemarkeerd als onvolledig door het |toevoegen van een tag met sleutel _"fixme"_ en waarde _"incomplete"_ in de route relatie.	The route is marked as having an incomplete definition. A route definition is explicitely marked incomplete by adding a tag _"fixme"_ with value _"incomplete"_ in the route relation.
103	Y	fact.description.route-incomplete-ok	De routes zijn uitdrukkelijk gemarkeerd als onvolledig door het toevoegen van een tag met sleutel _"fixme"_ en waarde _"incomplete"_ in de route relatie, maar na analyse lijkt de route ok.	The route is marked as having an incomplete definition. A route definition is explicitely marked incomplete by adding a tag _"fixme"_ with value _"incomplete"_ in the route relation. But after analysis, the route seems to be ok.
104	Y	fact.description.route-invalid-sorting-order	De wegen in deze route zijn volledig maar de volgorde is door elkaar gehaald.	The route is valid, but the sorting order of the ways is incorrect.
105	Y	fact.description.route-name-missing	De route relatie bevat geen _"note"_ tag met de route naam.	The route relation does not have a _"note"_ tag with the route name.
106	Y	fact.description.route-node-missing-in-ways	Begin en/of eind knooppunt(en) komen niet voor in een van de wegen van deze route.	The end node and/or the begin node is not found in any of the ways of this route.
107	Y	fact.description.route-node-name-mismatch	De route naam in de _"note"_ tag in de route relatie is anders dan wat we verwachten op basis van de start en eind knooppunten van de route.	The route name in the _note_ tag in the route relation does not match the expected name as derived from the start and end node of the route.
108	Y	fact.description.route-not-backward	Er is geen verbinding van het eindknooppunt naar het startknooppunt (terug weg).	There is no path in the backward direction (from end node to start node).
109	Y	fact.description.route-not-continious	De route is onderbroken: de begin- en eindknooppunten van deze route kunnen niet door wegen verbonden worden in de heen en/of terug richting.	The route is broken: the begin- and end-networknodes cannot be connected through ways either in the forward direction or the backward direction or both.
110	Y	fact.description.route-not-forward	Er is geen verbinding van het startknooppunt naar het eindknooppunt (heen weg).	There is no path in the forward direction (from start node to end node).
111	Y	fact.description.route-not-one-way	De route is getagged als bruikbaar in slechts 1 richting, maar de analyse logica heeft zowel een heenweg als een terugweg gevonden.	The route is tagged as useable in one direction only, but the analysis logic does find ways in both directions.
112	Y	fact.description.route-one-way	De route is getagged als bruikbaar in slechts 1 richting. Dit is OK.	The route is tagged as useable in one direction only. This is OK.
113	Y	fact.description.route-overlapping-ways	Er is geen gedetailleerde route analyse gedaan omdat er overlappende wegen zijn in de route.	No detailed route analysis is performed because the route contains overlapping ways.
114	Y	fact.description.route-redundant-nodes	Naast de begin en eind knooppunten bevinden er zich nog bijkomende knooppunten in de wegen van deze route.	The ways of this route contain extra nodes other than the start and end nodes.
115	Y	fact.description.route-suspicious-ways	Route met rare wegen (bijvoorbeeld wegen met slechts 1 punt).	Route with funny ways (for example ways with only 1 node).
116	Y	fact.description.route-tag-invalid	De verplichte _"route"_ tag heeft een ongeldige waarde. Een fietsnetwerk route relatie moet minimaal een tag met sleutel _"route"_ en waarde _"bicycle"_ hebben. Een wandelnetwerk route relatie moet minimaal een tag met sleutel _"route"_ en waarde _"foot"_, _"hiking"_ of _"walking"_ hebben. De waarde _"walking"_ wordt ook vaak gevonden en door de analyse logica aanvaard, al is deze waarde niet gedocumenteerd in de OSM wiki paginas.	Invalid value in required tag _"route"_ in route relation. A bicycle route relation needs to have value _"bicycle"_ in its _"route"_ tag. A hiking route relation needs to have one of the following values in its _"route"_ tag: _"foot"_, _"hiking"_, or _"walking"_. Note that _"walking"_ is a value that is frequently found, but not actually documented as a valid value in the OSM wiki pages.
117	Y	fact.description.route-tag-missing	De verplichte _"route"_ tag ontbreekt in de routerelatie.	Routerelation does not contain the required _route_ tag.
118	Y	fact.description.route-unaccessible	Een deel van de route lijkt niet[toegankelijk](/nl/docs/nl.html#_accessible).	Part of the route does not seem [accessible](/en/docs/en.html#_accessible).
119	Y	fact.description.route-unexpected-node	De route relatie bevat 1 of meerdere onverwachte knopen	The route relation contains 1 or more unexpected nodes
120	Y	fact.description.route-unexpected-relation	De route relatie bevat 1 of meer overwachte relaties. In route relaties verwachten we enkel onderdelen van het type _"way"_, of onderdelen van het type _"node"_ met een tag met sleutel _"rwn_ref"_ of _"rcn_ref"_.	The route relation contains one or more unexpected relation members. In route relations we expect only members of type _"way"_, or members of type _"node"_ with a tag _"rwn_ref"_ or _"rcn_ref"_.
121	Y	fact.description.route-unused-segments	Er zijn wegen of delen van wegen in de route definitie die niet passen in de verbindingen tussen de knooppunten.	The route contains ways or part of ways that are not used in the connection between the end nodes.
122	Y	fact.description.route-without-ways	De route bevat geen enkele weg (we verwachten ten minste 1 weg).	The route does not contain any ways (we expect the route to contain at least 1 way).
123	Y	fact.description.was-orphan	Niet langer een wees.	No longer an orphan.
124	Y	fact.name.added	Toegevoegd	Added
125	Y	fact.name.become-orphan	WeesGeworden	BecomeOrphan
126	Y	fact.name.deleted	Verwijderd	Deleted
127	Y	fact.name.integrity-check	RouteAantal	IntegrityCheck
128	Y	fact.name.integrity-check-failed	OnverwachtRouteAantal	IntegrityCheckFailed
129	Y	fact.name.lost-bicycle-node-tag	GeenFietsKnooppuntMeer	LostBicycleNodeTag
130	Y	fact.name.lost-hiking-node-tag	GeenWandelKnooppuntMeer	LostHikingNodeTag
131	Y	fact.name.lost-route-tags	GeenRouteMeer	LostRouteTags
132	Y	fact.name.name-missing	NetwerkZonderNaam	NameMissing
133	Y	fact.name.network-extra-member-node	OnverwachteKnoop	NetworkExtraMemberNode
134	Y	fact.name.network-extra-member-relation	OnverwachteRelatie	NetworkExtraMemberRelation
135	Y	fact.name.network-extra-member-way	OnverwachteWeg	NetworkExtraMemberWay
136	Y	fact.name.node-member-missing	OntbrekendKnooppuntLid	NodeMemberMissing
137	Y	fact.name.orphan-node	KnooppuntWees	OrphanNode
138	Y	fact.name.orphan-route	RouteWees	OrphanRoute
139	Y	fact.name.route-analysis-failed	RouteAnalyseFout	RouteAnalysisFailed
140	Y	fact.name.route-broken	RouteFout	RouteBroken
141	Y	fact.name.route-fixmetodo	Fixmetodo	RouteFixmetodo
142	Y	fact.name.route-incomplete	OnvolledigeRoute	RouteIncomplete
143	Y	fact.name.route-incomplete-ok	OnvolledigeRouteOk	RouteIncompleteOk
144	Y	fact.name.route-invalid-sorting-order	SorteerFout	RouteInvalidSortingOrder
145	Y	fact.name.route-name-missing	RouteZonderNaam	RouteNameMissing
146	Y	fact.name.route-node-missing-in-ways	OntbrekendKnoopunt	RouteNodeMissingInWays
147	Y	fact.name.route-node-name-mismatch	OnverwachteNaam	RouteNodeNameMismatch
148	Y	fact.name.route-not-backward	GeenTerugWeg	RouteNotBackward
149	Y	fact.name.route-not-continious	OnderBroken	RouteNotContinious
150	Y	fact.name.route-not-forward	GeenHeenWeg	RouteNotForward
151	Y	fact.name.route-not-one-way	RouteNietEnkeleRichting	RouteNotOneWay
152	Y	fact.name.route-one-way	RouteEnkeleRichting	RouteOneWay
153	Y	fact.name.route-overlapping-ways	OverlappendeWegen	RouteOverlappingWays
154	Y	fact.name.route-redundant-nodes	BijkomendKnooppunt	RouteRedundantNodes
155	Y	fact.name.route-reversed	OmgekeerdeVolgorde	RouteReversed
156	Y	fact.name.route-suspicious-ways	RouteVerdachteWegen	RouteSuspiciousWays
157	Y	fact.name.route-tag-invalid	TagFout	RouteTagInvalid
158	Y	fact.name.route-tag-missing	OntbrekendeTag	RouteTagMissing
159	Y	fact.name.route-unaccessible	Ontoegankelijk	RouteUnaccessible
160	Y	fact.name.route-unexpected-node	OnverwachteKnoopInRoute	RouteUnexpectedNode
161	Y	fact.name.route-unexpected-relation	OnverwachteRelatieInRoute	RouteUnexpectedRelation
162	Y	fact.name.route-unused-segments	OngebruikteSegmenten	RouteUnusedSegments
163	Y	fact.name.route-without-ways	ZonderWegen	RouteWithoutWays
164	Y	fact.name.was-orphan	WasWees	WasOrphan
165	Y	facts.none	Geen	None
166	Y	filter.title	Filter	Filter
167	Y	footer.contact	contact	contact
168	Y	footer.documentation	documentatie	documentation
169	Y	footer.issues	problemen	issues
170	Y	footer.status	status	status
171	Y	history-incomplete.warning	Oudere wijzigingen kunnen niet getoond worden. De geschiedenis in de knooppuntnet analyse databank gaat niet verder terug dan 2012-09-12 ( Licentie aanpassing ).	Older changes cannot be shown. The history in the analysis database does not go beyond 2012-09-12 ( License change ).
172	Y	home.analysis	Analyse	Analysis
173	Y	home.map	Kaart	Map
174	Y	home.page-title	Knooppunt netwerken	Node networks
175	Y	integrity-indicator.gray.text	Dit knooppunt heeft geen _""_ tag. Dit is OK omdat het gebruik van deze tag optioneel is.	This network node does not have an _""_ tag. This is OK because the use of this tag is optional.
176	Y	integrity-indicator.gray.title	OK - verwacht aantal routes ontbreekt	OK - expected route count missing
177	Y	integrity-indicator.green.text	Het aantal routes gevonden in dit knooppunt () komt overeen met het verwachte aantal routes () zoals gedefinieerd in de tag op het knooppunt. Dit is wat we verwachten.	The number of routes found in this network node () does match the expected number of routes () as defined in the _""_ tag on this node. This is what we expect.
178	Y	integrity-indicator.green.title	OK - verwacht aantal routes	OK - expected route count
179	Y	integrity-indicator.letter	E	E
180	Y	integrity-indicator.red.text	Het aantal routes gevonden in dit knooppunt () komt niet overeen met het verwachte aantal routes () zoals gedefinieerd in de _""_ tag op het knooppunt.	The number of routes found in this network node () does not match the expected number of routes () as defined in the _""_ tag on this node.
181	Y	integrity-indicator.red.title	NOK - onverwacht aantal routes	NOK - unexpected route count
182	Y	link.logout	afmelden	logout
183	Y	links.edit	aanpassen	edit
184	Y	location-changes.title	Wijzigingen	Changes
185	Y	location-facts.none	Geen	None
186	Y	location-facts.title	Feiten	Facts
187	Y	location-map.title	Kaart	Map
188	Y	location-nodes.no-nodes	Knooppunten	No nodes
189	Y	location-nodes.no-routes	geen routes	no routes
190	Y	location-nodes.table.analysis	Analyse	Analysis
191	Y	location-nodes.table.last-edit	Meest recente aanpassing	Last edit
192	Y	location-nodes.table.node	Knooppunt	Node
193	Y	location-nodes.table.nr	Nr	Nr
194	Y	location-nodes.table.routes	Routes	Routes
195	Y	location-nodes.title	Knooppunten	Nodes
196	Y	location-page.header	in	in
197	Y	location-page.menu.changes	Wijzigingen	Changes
198	Y	location-page.menu.facts	Feiten	Facts
199	Y	location-page.menu.map	Kaart	Map
200	Y	location-page.menu.nodes	Knooppunten	Nodes
201	Y	location-page.menu.routes	Routes	Routes
202	Y	location-routes.no-routes	Geen routes	No routes
203	Y	location-routes.table.broken	Onderbroken	Broken
204	Y	location-routes.table.distance	Afstand	Distance
205	Y	location-routes.table.distance.value	m	m
206	Y	location-routes.table.last-edit	Laatst bewerkt	Last edit
207	Y	location-routes.table.nr	Nr	Nr
208	Y	location-routes.table.route	Route	Route
209	Y	location-routes.title	Routes	Routes
210	Y	location.location-not-found	Gebied niet gevonden	Location not found
211	Y	location.selector.button	Locatie overzicht	Location overview
212	Y	location.selector.input.place-holder	gemeente of ander administratief gebied	enter municipality or other administrative boundary name
213	Y	location.tree.all	Alle	All
214	Y	location.tree.collapse-all	Alles inklappen	Collapse all
215	Y	location.tree.expand-all	Alles openvouwen	Expand all
216	Y	location.tree.in-use-only	Enkel met knooppunten	In use only
217	Y	login	aanmelden	login
218	Y	login.note.1	Na het aanmelden krijgt u toegang to extra informatie: wijzigingset details, netwerk historiek, route historiek en knooppunt historiek.	Login allows you to view extra information, such as changeset details, network history, route history and node history.
219	Y	login.note.2	Deze informatie is enkel beschikbaar voor geregistreerde OpenStreetMap leden.	This information is available to registered OpenStreetMap users only.
220	Y	login.note.3	Na het klikken op de "aanmelden" knop hieronder, wordt u (eventueel via het aanmeldenscherm van OpenStreetMap zelf) naar de OpenStreetMap pagina "Geef toegang tot uw account" gebracht. Hier klikt u op de knop "Toegang verlenen" (laat hierbij de optie "uw gebruikersvoorkeuren lezen" aangevinkt).	After clicking the "login" button below, you will be directed (via the OpenStreetMap login page if you are not logged in to OpenStreetMap yet) to the OpenStreetMap page "Authorize access to your account". Click the button "Grant access" (leave the option "read your user preferences" checked).
221	Y	login.note.4	De knooppuntnet toepassing leest enkel uw gebruikersnaam uit uw gebruikervoorkeuren om vast te stellen dat u een registreerde OpenStreetMap gebruiker bent. De andere informatie in uw gebruikervoorkeuren wordt niet gebruikt en niet opgeslagen in knooppuntnet.	The knooppuntnet application only reads your username from the user preferences to establish that you are a registered OpenStreetMap user. All other user preferences are ignored, and not stored in knooppuntnet.
222	Y	login.note.5	Deze aanmeld procedure loopt via OpenStreetMap, en op geen enkel moment heeft knooppuntnet toegang tot uw paswoord.	This login procedure uses OpenStreetMap security. Knooppuntnet does not have access to your password at any moment.
223	Y	login.note.6	U blijft aangemeld bij knooppuntnet (ook na het afsluiten van uw browser) tot u zich uitdrukkelijk afmeld via het afmelden scherm. Om daarna opnieuw aan te melden dient u opnieuw dezelfde procedure door te lopen.	You remain logged in (also after closing you browser), until you explicitly logout through the logout page. To login again after logout you will have to use the same login procedure again.
224	Y	login.submit	Aanmelden	Login
225	Y	login.title	Aanmelden	Login
226	Y	logout.logged-in	U bent momenteel aangemeld als .	You are currently logged in as .
227	Y	logout.login-comment	Ga naaraanmelden om toegang te krijgen tot extra informatie die enkel beschikbaar is voor gebruikers.	You can login to view extra information that is available to users only.
228	Y	logout.not-logged-in	U bent niet aangemeld.	You are not logged in.
229	Y	logout.note.1	Dit laat u toe om extra informatie te raadplegen die enkel beschikbaar is voor geregistreerde OpenStreetMap gebruikers.	This allows you to view extra information that is available to OpenStreetMap users only.
230	Y	logout.note.2	Na het uitloggen kan u de website verder gebruiken, maar extra informatie zoals wijzigingset details, netwerk historiek, route historiek en knooppunt historiek zijn niet meer raadpleegbaar. In uw persoonlijke zal knooppuntnet nog wel voorkomen. U kunt deze autorisatie intrekken. De autorisatie zal niet meer gebruikt worden. Een nieuwe autorisatie zal aangemaakt worden bij opnieuw aanmelden.	After logging out you can continue to use this website. However, the additional information such as changesets, network changes, route changes and node changes will not be visible anymore. Your personal OpenStreetMap will still contain this application. The application can safely be revoked. The authorization will not be used anymore. A new authorization will be created when logging in again.
231	Y	logout.submit	Afmelden	Logout
232	Y	logout.title	Afmelden	Logout
233	Y	map.end-node	Eind knooppunt	End node
234	Y	map.end-tentacle-node	Eind tentakel knooppunt	End tentacle node
235	Y	map.layer.added	Toegevoegd	Added
236	Y	map.layer.backward-route	Terug weg	Backward route
237	Y	map.layer.boundary	Locatie grenzen	Boundary
238	Y	map.layer.canoe	Kano	Canoe
239	Y	map.layer.cycling	OpenStreetMap	Cycling
240	Y	map.layer.deleted	Verwijderd	Deleted
241	Y	map.layer.end-tentacle	Eind tentakel	End tentacle
242	Y	map.layer.forward-route	Heen weg	Forward route
243	Y	map.layer.hiking	Wandelen	Hiking
244	Y	map.layer.horse-riding	Ruiter	Horse riding
245	Y	map.layer.inline-skating	Inline Skating	Inline Skating
246	Y	map.layer.motorboat	Motorboot	Motorboat
247	Y	map.layer.node	Knooppunt	Node
248	Y	map.layer.nodes	Knooppunten	Nodes
249	Y	map.layer.nodes-and-routes	Knooppunten en routes	Nodes and routes
250	Y	map.layer.osm	OpenStreetMap	OpenStreetMap
251	Y	map.layer.other-routes	Andere routes	Other routes
252	Y	map.layer.start-tentacle	Start tentakel	Start tentacle
253	Y	map.layer.unchanged	Onveranderd	Unchanged
254	Y	map.layer.unused	Ongebruikt	Unused
255	Y	map.node-popup.more-details	Meer details	More details
256	Y	map.node-popup.network	Netwerk	Network
257	Y	map.node-popup.networks	Netwerken	Networks
258	Y	map.node-popup.no-networks	Geen	None
259	Y	map.node-popup.routes	Routes	Routes
260	Y	map.node-popup.routes.none	Geen	None
261	Y	map.node-popup.title	Knooppunt	Node
262	Y	map.redundant-node	Bijkomend knooppunt	Redundant node
263	Y	map.route-popup.more-details	Meer details	More details
264	Y	map.route-popup.network	Netwerk	Network
265	Y	map.route-popup.networks	Netwerken	Networks
266	Y	map.route-popup.no-networks	Geen	None
267	Y	map.route-popup.title	Route	Route
268	Y	map.start-node	Start knooppunt	Start node
269	Y	map.start-tentacle-node	Start tentakel knooppunt	Start tentacle node
270	Y	network-changes.login-required	De details van netwerk wijzigingshistoriek zijn enkel beschikbaar voor geregistreerde OpenStreetMap leden, na	The details of network changes history are available to registered OpenStreetMap contributors only, after .
271	Y	network-changes.network-created	Netwerk nieuw aangemaakt	Network created
272	Y	network-changes.network-deleted	Netwerk verwijderd	Network deleted
273	Y	network-changes.network-nodes.added	Toegevoegde knooppunten	Added node(s)
274	Y	network-changes.network-nodes.removed	Network knooppunt(en) verwijderd	Removed network node(s)
275	Y	network-changes.network-nodes.updated	Knooppunt(en) aangepast	Updated network node(s)
276	Y	network-changes.network-not-found	Netwerk niet gevonden	Network not found
277	Y	network-changes.network-relation-updated	Netwerk relatie aangepast	Updated network relation
278	Y	network-changes.nodes.added	Niet-network-knooppunt(en) toegevoegd in netwerk relatie	Added non-network node member(s) in network relation
279	Y	network-changes.nodes.removed	Knooppunt dat geen networkknooppunt is verwijderd uit netwerk relatie	Removed non-network node member(s) from network relation
280	Y	network-changes.nodes.updated	Niet-netwerk-knooppunt(en) aangepast	Updated non-network node(s)
281	Y	network-changes.relations.added	Niet-route relatie(s) toegevoegd in netwerk relatie	Added non-route relation(s) in network relation
282	Y	network-changes.relations.removed	Niet-route relatie(s) verwijderd uit netwerk relatie	Removed non-route relation(s) from network relation
283	Y	network-changes.relations.updated	Niet-route relatie aangepast	Updated non-route relation(s)
284	Y	network-changes.routes.added	Toegevoegde route(s)	Added route(s)
285	Y	network-changes.routes.removed	Verwijderde route(s)	Removed route(s)
286	Y	network-changes.routes.updated	Route(s) aangepast	Updated route(s)
287	Y	network-changes.title	Wijzigingen	Changes
288	Y	network-changes.ways.added	Weg(en) toegevoegd in netwerk relatie	Added way member(s) in network relation
289	Y	network-changes.ways.removed	Weg(en) verwijderd uit netwerk relatie	Removed way member(s) from network relation
290	Y	network-changes.ways.updated	Weg(en) aangepast	Updated way member(s)
291	Y	network-details.contains-broken-routes	Dit network bevat verbindingen die niet geheel aaneensluitend zijn.	This network contains broken (non-continuous) routes.
292	Y	network-details.country	Land	Country
293	Y	network-details.last-updated	Laatst bewerkt	Last updated
294	Y	network-details.network-not-found	Netwerk niet gevonden	Network not found
295	Y	network-details.nodes	knooppunten	nodes
296	Y	network-details.not-active	Dit netwerk is niet meer actief.	This network is not active anymore.
297	Y	network-details.relation-last-updated	Relatie laatst bewerkt	Relation last updated
